,YEAR,TEAM,CONF,G,WINS,LOSSES,W%,ADJOE,ADJDE,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB,SEED,FINISH,T_WINS,Corrected_Expected_Wins,Cinderella
48,2008,Siena,MAAC,32.0,22.0,10.0,0.688,106.4,100.0,50.4,51.9,15.2,24.0,31.8,36.9,34.9,25.0,48.0,49.2,37.5,38.0,29.9,34.5,69.1,-3.8,13.0,R32,1.0,0,1.0
49,2008,Mississippi St.,SEC,32.0,22.0,10.0,0.688,106.3,90.5,52.3,42.4,21.9,18.2,35.2,32.6,38.3,27.3,53.5,39.4,33.4,32.0,36.8,34.7,68.6,0.6,8.0,R32,1.0,1,0.0
50,2008,Boise St.,WAC,32.0,24.0,8.0,0.75,106.2,102.6,57.3,49.9,21.0,19.4,30.2,29.5,40.3,33.6,56.1,48.9,39.6,34.7,35.7,31.8,73.0,-2.4,14.0,R64,0.0,0,0.0
51,2008,Kentucky,SEC,30.0,18.0,12.0,0.6,105.7,94.5,52.6,44.9,23.8,19.9,33.0,33.5,41.3,42.0,51.5,43.0,36.8,32.4,31.2,33.6,64.5,-1.1,11.0,R64,0.0,0,0.0
52,2008,Belmont,ASun,32.0,24.0,8.0,0.75,105.5,105.0,53.3,52.0,20.4,22.4,33.8,30.4,34.0,35.6,52.2,51.9,36.3,34.8,47.4,34.3,71.4,-3.5,15.0,R64,0.0,0,0.0
53,2008,Portland St.,BSky,30.0,21.0,9.0,0.7,105.3,101.8,54.7,50.0,20.7,21.5,34.0,31.3,38.2,35.3,51.2,49.4,39.9,34.2,41.0,33.5,68.2,-3.4,16.0,R64,0.0,0,0.0
54,2008,American,Pat,32.0,21.0,11.0,0.656,105.0,104.5,52.5,47.5,22.1,19.7,32.3,30.2,42.1,38.0,46.5,44.6,40.9,35.1,40.1,35.4,62.7,-5.8,15.0,R64,0.0,0,0.0
55,2008,BYU,MWC,34.0,27.0,7.0,0.794,104.9,89.3,53.3,42.8,19.7,19.1,30.8,26.2,37.6,30.3,51.5,42.5,37.4,29.0,38.7,29.6,70.4,2.5,8.0,R64,0.0,1,-1.0
56,2008,Georgia,SEC,32.0,16.0,16.0,0.5,102.6,94.4,47.7,48.1,21.8,19.2,37.5,31.9,32.8,32.7,46.9,49.1,32.9,30.8,31.4,34.9,66.7,-3.9,14.0,R64,0.0,0,0.0
57,2008,Austin Peay,OVC,34.0,24.0,10.0,0.706,102.5,103.5,52.3,54.1,18.5,24.5,29.9,32.3,44.6,32.7,49.0,53.0,38.6,37.1,37.2,40.0,67.4,-5.3,15.0,R64,0.0,0,0.0
58,2008,Oral Roberts,Sum,31.0,23.0,8.0,0.742,102.3,92.4,50.1,44.5,19.4,21.0,33.5,30.9,41.3,30.0,47.7,42.3,36.7,33.6,33.5,27.2,65.5,-0.9,13.0,R64,0.0,0,0.0
59,2008,UT Arlington,Slnd,28.0,17.0,11.0,0.607,99.1,101.2,52.5,47.1,24.1,20.8,31.8,30.5,41.5,37.9,52.7,46.3,34.7,32.2,31.3,41.4,70.6,-7.0,16.0,R64,0.0,0,0.0
60,2008,San Diego,WCC,33.0,20.0,13.0,0.606,98.6,94.7,49.3,48.9,21.5,22.7,32.2,30.1,36.0,33.5,48.6,48.5,34.1,33.4,27.1,29.8,65.5,-3.9,13.0,R32,1.0,0,1.0
61,2008,Winthrop,BSth,31.0,20.0,11.0,0.645,98.1,90.8,50.0,46.1,20.0,23.4,33.8,29.0,36.3,33.8,47.1,45.8,37.4,31.0,31.7,42.8,63.5,-4.2,13.0,R64,0.0,0,0.0
62,2008,Mount St. Mary's,NEC,32.0,18.0,14.0,0.562,97.3,99.1,50.2,46.4,20.9,22.0,30.0,33.0,38.7,38.6,48.1,45.7,36.7,32.1,30.1,30.7,67.5,-9.5,16.0,R64,0.0,0,0.0
63,2008,Mississippi Valley St.,SWAC,30.0,15.0,15.0,0.5,90.0,105.3,44.3,49.7,21.8,22.9,32.5,34.5,41.6,37.5,41.5,50.9,35.2,31.3,25.0,31.4,64.9,-10.0,16.0,R64,0.0,0,0.0
64,2009,North Carolina,ACC,31.0,27.0,4.0,0.871,121.8,93.1,52.7,47.2,17.1,20.7,40.5,31.9,39.3,25.1,51.5,44.7,37.3,35.0,27.7,32.7,74.5,7.7,1.0,CHAMPS,6.0,5,1.0
65,2009,Pittsburgh,BE,31.0,27.0,4.0,0.871,121.0,91.6,53.4,47.0,18.0,19.7,43.0,29.4,31.9,30.6,53.3,45.3,35.7,33.5,28.6,33.3,66.4,8.6,1.0,Elite Eight,3.0,5,-2.0
66,2009,UCLA,P10,33.0,25.0,8.0,0.758,119.9,93.3,56.0,49.8,18.8,24.3,37.0,31.0,30.3,34.9,54.1,48.0,39.8,36.2,33.1,29.0,66.6,4.5,6.0,R32,1.0,1,0.0
67,2009,Oklahoma,B12,32.0,27.0,5.0,0.844,117.6,94.0,55.0,45.8,19.8,18.2,36.6,31.6,46.8,29.9,55.8,42.9,35.8,34.1,34.6,35.3,68.6,7.4,2.0,Elite Eight,3.0,4,-1.0
68,2009,Arizona St.,P10,33.0,24.0,9.0,0.727,117.2,92.9,56.3,46.6,18.7,19.7,29.9,30.3,38.0,30.4,57.5,46.3,36.6,31.4,44.7,36.6,60.9,4.7,6.0,R32,1.0,1,0.0
69,2009,Duke,ACC,34.0,28.0,6.0,0.824,116.7,90.5,50.9,47.4,17.7,23.6,37.7,33.2,41.1,30.9,50.2,46.1,34.9,34.1,35.0,25.8,68.3,7.9,2.0,Sweet Sixteen,2.0,4,-2.0
70,2009,Marquette,BE,33.0,24.0,9.0,0.727,116.4,94.8,51.7,50.9,16.7,22.1,34.7,30.8,45.0,30.5,51.3,50.1,34.9,35.0,34.8,34.5,69.5,3.4,6.0,R32,1.0,1,0.0
71,2009,Arizona,P10,32.0,19.0,13.0,0.594,116.3,99.8,53.2,50.8,19.4,18.3,36.1,34.1,37.0,25.5,50.7,49.1,39.5,35.5,29.0,40.7,65.4,0.7,12.0,Sweet Sixteen,2.0,0,2.0
72,2009,Clemson,ACC,31.0,23.0,8.0,0.742,115.8,94.9,53.3,48.2,20.3,24.4,39.6,37.4,31.8,32.6,51.4,46.1,37.9,35.8,34.7,28.1,69.3,2.8,7.0,R64,0.0,1,-1.0
73,2009,Syracuse,BE,34.0,25.0,9.0,0.735,115.7,93.5,54.4,46.8,20.5,19.4,36.1,35.9,40.2,26.1,55.1,48.4,35.4,29.5,32.2,37.5,71.3,5.9,3.0,Sweet Sixteen,2.0,2,0.0
74,2009,California,P10,32.0,22.0,10.0,0.688,115.7,97.1,54.1,48.9,17.9,18.6,32.2,30.4,34.3,32.8,50.3,47.5,43.4,34.9,26.2,27.9,67.4,3.2,7.0,R64,0.0,1,-1.0
75,2009,Utah St.,WAC,33.0,29.0,4.0,0.879,115.1,100.6,55.9,47.5,18.3,17.1,36.4,27.8,38.3,29.9,54.2,44.3,39.9,36.7,31.2,29.3,61.5,2.6,11.0,R64,0.0,0,0.0
76,2009,Oklahoma St.,B12,33.0,22.0,11.0,0.667,114.9,96.3,53.6,49.9,17.0,20.9,28.4,30.5,40.3,41.3,50.8,49.1,38.4,34.3,41.1,32.8,71.0,2.7,8.0,R32,1.0,1,0.0
77,2009,Connecticut,BE,31.0,27.0,4.0,0.871,114.7,87.1,51.1,42.5,18.2,17.3,39.9,31.3,45.1,19.3,50.8,40.5,34.7,31.3,23.5,30.5,68.0,8.8,1.0,Final Four,4.0,5,-1.0
78,2009,Gonzaga,WCC,30.0,25.0,5.0,0.833,114.6,88.9,55.1,42.8,16.5,22.1,31.4,30.5,34.6,29.3,52.9,38.6,39.9,33.7,31.7,35.5,69.1,4.5,4.0,Sweet Sixteen,2.0,2,0.0
79,2009,Missouri,B12,34.0,28.0,6.0,0.824,114.5,90.2,52.8,46.2,17.0,26.0,35.0,34.2,36.6,39.3,52.4,46.3,35.8,30.8,31.7,30.6,71.9,6.1,3.0,Elite Eight,3.0,2,1.0
80,2009,Kansas,B12,32.0,25.0,7.0,0.781,114.4,90.6,53.6,44.6,20.9,19.7,37.0,29.1,40.2,36.6,52.1,41.6,38.0,33.5,30.1,34.5,68.2,5.4,3.0,Sweet Sixteen,2.0,2,0.0
81,2009,Tennessee,SEC,33.0,21.0,12.0,0.636,114.1,96.3,50.9,50.2,18.6,21.1,38.1,31.0,36.7,37.2,52.8,50.1,31.4,33.7,33.9,37.3,69.6,1.3,9.0,R64,0.0,0,0.0
82,2009,BYU,MWC,31.0,24.0,7.0,0.774,113.8,92.5,55.1,45.4,16.5,20.1,28.6,25.7,35.4,36.3,54.2,45.6,38.0,30.0,33.8,34.4,70.1,2.3,8.0,R64,0.0,1,-1.0
